"","Chl0","EKE0","FSLE0","SSH0","Temp0","Temp200","Temp400","Temp700","Sal0","Sal200","Sal400","Sal700","VelMag0","VelAsp0","CEddyDist0","AEddyDist0"
"SpermWhale",0.5087,0.4623,0.946,0.3823,0.4378,0.4018,0.1729,0.9015,0.1289,0.8171,0.4088,0.1839,0.1619,0.5397,0.4113,0.999
"Kogia",5e-04,0.1304,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0.022,5e-04,5e-04,5e-04
"True",5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04
"Sowerby",5e-04,0.002,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04
"Cuvier",5e-04,0.7631,0.001,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0.4368,0.005,0.7611,5e-04
"Gervais",5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04
"Blainville",5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0.1194,0.0015,5e-04,5e-04
"UD26",0.0015,0.2149,0.0205,5e-04,0.055,0.0755,5e-04,0.063,5e-04,5e-04,0.0035,0.0085,0.6997,0.1759,0.9625,0.036
"Risso",5e-04,0.1454,0.0015,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0.0025,0.0015,0.004,0.2134
"UD28",0.5357,0.5527,0.9815,0.4443,0.6622,0.9825,0.7981,0.6872,0.9325,0.7681,0.8716,0.9525,0.6077,0.9395,0.8861,0.999
