,Rho,MAE,MAENorm,MAPE,RMSE,RMSENorm,Rho,MAE,MAENorm,MAPE,RMSE,RMSENorm,DE
Dd,0.819,116.400,0.170,1.863,30933.242,45.224,0.810,117.069,0.171,Inf,31225.644,45.718,60.3%
Gg,0.591,68.119,0.335,6.019,13794.821,67.788,0.678,59.523,0.330,Inf,11652.375,64.556,35.9%
Gm,0.505,38.571,0.251,4.791,3631.055,23.578,0.578,34.008,0.247,Inf,3030.089,22.037,35.9%
Md,0.680,22.791,0.257,1.439,1171.462,13.192,0.539,3.905,1.953,Inf,174.991,87.495,81.4%
Me,0.640,44.996,0.253,2.631,4189.556,23.510,0.743,23.419,0.248,Inf,2037.645,21.562,73.0%
Zc,0.393,35.773,0.262,2.838,8108.123,59.400,0.261,24.586,0.734,Inf,4371.651,130.497,73.0%
Mb,0.299,8.828,0.315,1.785,185.580,6.628,0.713,5.228,0.275,Inf,98.780,5.199,51.8%
Mm,0.251,4.747,0.339,1.174,69.726,4.980,0.587,2.564,0.427,Inf,29.002,4.834,43.0%
Kg,0.503,3.460,0.346,0.961,68.064,6.806,0.611,2.000,0.333,Inf,30.638,5.106,43.0%
Pm,0.581,137.620,0.293,5.393,46433.092,98.941,0.607,134.367,0.291,Inf,44975.711,97.456,31.7%
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
